form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,source,page,language_id
hmar001,no_stem,1.sg,kei,kei,k ei,kei,k ei,default,Infimate2025Hmar,nopage,hmar
hmar002,no_stem,1.pl.excl,kei-ni,keini,k ei n i,kei+ni,k ei + n i,default,Infimate2025Hmar,nopage,hmar
hmar003,no_stem,1.pl.incl,ei-ni,eini,ei n i,ei+ni,ei + n i,default,Infimate2025Hmar,nopage,hmar
hmar004,no_stem,2.sg,naŋ,naŋ,n a ŋ,naŋ,n a ŋ,default,Infimate2025Hmar,nopage,hmar
hmar005,no_stem,2.pl,naŋ-ni,naŋni,n a ŋ n i,naŋ+ni,n a ŋ + n i,default,Infimate2025Hmar,nopage,hmar
hmar006,no_stem,3.sg,ama,ama,a m a,ama,a m a,default,Infimate2025Hmar,nopage,hmar
hmar007,no_stem,3.pl,an-ni,anni,a n n i,an+ni,a n + n i,default,Infimate2025Hmar,nopage,hmar
hmar008,fe,1.sg.fut.aff,feŋ ka tiʔ ,Σŋkatiʔ,Σ ŋ k a t i ʔ,Σ+ŋ+ka+tiʔ,Σ + ŋ + k a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar009,fe,1.sg.fut.aff,ka fe diŋ ,kaΣdiŋ,k a Σ d i ŋ,ka+Σ+diŋ,k a + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar010,fe,1.pl.incl.fut.aff,feŋ ei tiʔ ,Σŋeitiʔ,Σ ŋ ei t i ʔ,Σ+ŋ+ei+tiʔ,Σ + ŋ + ei + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar011,fe,1.pl.excl.fut.aff,feŋ kan tiʔ,Σŋkantiʔ,Σ ŋ k a n t i ʔ,Σ+ŋ+ka+n+tiʔ,Σ + ŋ + k a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar012,fe,1.pl.incl.fut.aff,ei fe diŋ ,eiΣdiŋ,ei Σ d i ŋ,ei+Σ+diŋ,ei + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar013,fe,1.pl.excl.fut.aff,kan fe diŋ ,kanΣdiŋ,k a n Σ d i ŋ,ka+n+Σ+diŋ,k a + n + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar014,mu,1.sg.2.sg.fut.aff,ka m̥u diŋ ce,kaΣdiŋce,k a Σ d i ŋ ts e,ka+Σ+diŋ+ce,k a + Σ + d i ŋ + ts e,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar015,mu,1.sg.2.sg.fut.aff,m̥uuŋ ka ti ce,Σŋkatice,Σ ŋ k a t i ts e,Σ+ŋ+ka+ti+ce,Σ + ŋ + k a + t i + ts e,default,Infimate2025Hmar,nopage,hmar
hmar016,mu,1.sg.2.pl.fut.aff,ka m̥u diŋ ceu,kaΣdiŋceu,k a Σ d i ŋ ts e u,ka+Σ+diŋ+ce+u,k a + Σ + d i ŋ + ts e + u,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar017,mu,1.sg.2.pl.fut.aff,m̥uuŋ ka ti ceu,Σŋkaticeu,Σ ŋ k a t i ts e u,Σ+ŋ+ka+ti+ce+u,Σ + ŋ + k a + t i + ts e + u,default,Infimate2025Hmar,nopage,hmar
hmar018,mu,1.pl.excl.2.sg.fut.aff,kan m̥u diŋ ce,kanΣdiŋce,k a n Σ d i ŋ ts e,ka+n+Σ+diŋ+ce,k a + n + Σ + d i ŋ + ts e,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar019,mu,1.pl.excl.2.sg.fut.aff,m̥uuŋ kan ti ce,Σŋkantice,Σ ŋ k a n t i ts e,Σ+ŋ+ka+n+ti+ce,Σ + ŋ + k a + n + t i + ts e,default,Infimate2025Hmar,nopage,hmar
hmar020,mu,1.pl.excl.2.pl.fut.aff,kan m̥u diŋ ceu,kanΣdiŋceu,k a n Σ d i ŋ ts e u,ka+n+Σ+diŋ+ce+u,k a + n + Σ + d i ŋ + ts e + u,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar021,mu,1.pl.excl.2.pl.fut.aff,m̥uuŋ kan ti ceu,Σŋkanticeu,Σ ŋ k a n t i ts e u,Σ+ŋ+ka+n+ti+ce+u,Σ + ŋ + k a + n + t i + ts e + u,default,Infimate2025Hmar,nopage,hmar
hmar022,mu,1.sg.3.sg.fut.aff,m̥uuŋ ka tiʔ,Σŋkatiʔ,Σ ŋ k a t i ʔ,Σ+ŋ+ka+tiʔ,Σ + ŋ + k a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar023,mu,1.sg.3.sg.fut.aff,ka m̥u diŋ,kaΣdiŋ,k a Σ d i ŋ,ka+Σ+diŋ,k a + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar024,mu,1.sg.3.pl.fut.aff,m̥uuŋ ka tiʔ,Σŋkatiʔ,Σ ŋ k a t i ʔ,Σ+ŋ+ka+tiʔ,Σ + ŋ + k a + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar025,mu,1.sg.3.pl.fut.aff,ka m̥u diŋ,kaΣdiŋ,k a Σ d i ŋ,ka+Σ+diŋ,k a + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar026,mu,1.pl.incl.3.sg.fut.aff,m̥uuŋ ei tiʔ,Σŋeitiʔ,Σ ŋ ei t i ʔ,Σ+ŋ+ei+tiʔ,Σ + ŋ + ei + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar027,mu,1.pl.excl.3.sg.fut.aff,m̥uuŋ kan tiʔ,Σŋkantiʔ,Σ ŋ k a n t i ʔ,Σ+ŋ+ka+n+tiʔ,Σ + ŋ + k a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar028,mu,1.pl.incl.3.sg.fut.aff,ei m̥u diŋ,eiΣdiŋ,ei Σ d i ŋ,ei+Σ+diŋ,ei + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar029,mu,1.pl.excl.3.sg.fut.aff,kan m̥u diŋ,kanΣdiŋ,k a n Σ d i ŋ,ka+n+Σ+diŋ,k a + n + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar030,mu,1.pl.incl.3.pl.fut.aff,m̥uuŋ ei tiʔ,Σŋeitiʔ,Σ ŋ ei t i ʔ,Σ+ŋ+ei+tiʔ,Σ + ŋ + ei + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar031,mu,1.pl.excl.3.pl.fut.aff,m̥uuŋ kan tiʔ,Σŋkantiʔ,Σ ŋ k a n t i ʔ,Σ+ŋ+ka+n+tiʔ,Σ + ŋ + k a + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar032,mu,1.pl.incl.3.pl.fut.aff,ei m̥u diŋ,eiΣdiŋ,ei Σ d i ŋ,ei+Σ+diŋ,ei + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar033,mu,1.pl.excl.3.pl.fut.aff,kan m̥u diŋ,kanΣdiŋ,k a n Σ d i ŋ,ka+n+Σ+diŋ,k a + n + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar034,fe,2.sg.fut.aff,feŋ i tiʔ ,Σŋitiʔ,Σ ŋ i t i ʔ,Σ+ŋ+i+tiʔ,Σ + ŋ + i + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar035,fe,2.sg.fut.aff,i fe diŋ,iΣdiŋ,i Σ d i ŋ,i+Σ+diŋ,i + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar036,fe,2.pl.fut.aff,feŋ in tiʔ ,Σŋintiʔ,Σ ŋ i n t i ʔ,Σ+ŋ+i+n+tiʔ,Σ + ŋ + i + n + t i ʔ,default,Infimate2025Hmar,nopage,hmar
hmar037,fe,2.pl.fut.aff,in fe diŋ ,inΣdiŋ,i n Σ d i ŋ,i+n+Σ+diŋ,i + n + Σ + d i ŋ,pragm_marked,Infimate2025Hmar,nopage,hmar
hmar038,mu,2.sg.1.sg.fut.aff,mi m̥uuŋ i tiʔ,miΣŋitiʔ,m i Σ ŋ i t i ʔ,mi+Σ+ŋ+i+tiʔ,m i + Σ + ŋ + i + t i ʔ,default,Infimate2025Hmar,nopage,hmar
